,comm_2
0,2737379453
1,2258074658
2,159909978
3,105301854
4,290671142
5,208721168
6,706109159708729344
7,742492143885930496
8,473194490
9,155395122
10,252168075
11,1238117630696972289
12,37232479
13,1279224657124753408
14,1299172647583051777
15,920281298735976449
16,145461175
17,4824382060
18,147385733
19,1118888183343853569
20,418899788
21,3991086621
22,881308200095678466
23,1537340682
24,2811705634
25,2744470601
26,1544714364
27,885963124754567168
28,148461640
29,177648210
30,606632391
31,2520619430
32,849688115967078400
33,1174097745948422145
34,2232463863
35,853780872268582918
36,1038901266
37,158218244
38,2229256457
39,307409107
40,114477009
41,148839779
42,327180205
43,833159505332563968
44,156054222
45,158578695
46,2840280909
47,967145407
48,1110543608703303682
49,2699291461
50,1348389929143906305
51,1014581050289410048
52,2923041125
53,3416293883
54,174754723
55,1285055382210125832
56,334233849
57,1003015970213040133
58,149643369
59,1252422390946115584
60,2915779377
61,1928320513
62,846698894742474754
63,1192415849400938496
64,947946508174884867
65,299375176
66,1182262941753720834
67,734388470458818561
68,1545719215
69,978560748837392389
70,1360447026
71,1270088629654827009
72,2591131
73,1350027419957264385
74,2301439887
75,552664234
76,1298764453039820802
77,1185322718360670209
78,1226214580600397824
79,383951722
80,3062295652
81,1904972988
82,4220072895
83,1939348687
84,730248541
85,1266486592107143173
86,23481918
87,489151952
88,726028375173795840
89,873644258
90,886707832627896321
91,813411951023943680
92,168007252
93,1159100068147978243
94,704266183
95,167469254
96,1070828803713306624
97,888382113879396352
98,556753979
99,156636660
100,1062010454854324225
101,231454540
102,1319431960389963776
103,527736823
104,4243331608
105,2909731282
106,1175756935641075718
107,849264505486004224
108,304709990
109,1263252409880662023
110,222961577
111,92138339
112,175236893
113,1280585875131437067
114,1118000179565744128
115,1334687222
116,890391850720399360
117,1066416564268867586
118,2353140334
119,1138474230755078145
120,861545786
121,1059168774975356933
122,820742448
123,74160925
124,1348710270194102273
125,128200699
126,1360287269622599684
127,1274929120070303744
128,2642979744
129,1274174042162049024
130,2947440729
131,1167550233980616704
132,1346524009429610497
133,1205897942697218048
134,996126800911757312
135,4198216397
136,427704403
137,843217760708628480
138,3155840833
139,756543198927982592
140,1055252819417186304
141,1189657324509650945
142,1147845205321748480
143,142449943
144,3105429461
145,1252579516356145153
146,1369358752395169792
147,68957648
148,151117172
149,835122943822725122
150,1189607160851943424
151,766327001661800448
152,547180928
153,986371164959399936
154,951684107595075585
155,1233264558707527681
156,174262027
157,994751288608022529
158,1167510078649487361
159,3990609737
160,247929216
161,1021908030403878912
162,185743772
163,32693346
164,1320428386196590594
165,161197918
166,1409175901
167,1354551976277790722
168,176590617
169,2908523213
170,2988521818
171,794114364
172,1570468878
173,1306714404306681858
174,849812617841475588
175,1176934859366944769
176,1219797248713928704
177,4321866322
178,4075797497
179,1862162257
180,168014855
181,309072522
182,781895096912449536
183,1367663606721036289
184,200673529
185,1132084412068368384
186,2856938537
187,2163335654
188,2229279600
189,275666277
190,1335975353463005184
191,1239091746
192,4438097895
193,2718478968
194,554866437
195,1171154016765652992
196,1385843886
197,619208578
198,1245099959470481411
199,1234523636092080131
200,2278234402
201,68753864
202,1260315856573251585
203,3353861285
204,343636885
205,1337480038627864577
206,1145065075033726976
207,367396547
208,897614167854776320
209,146519689
210,248888734
211,534807694
212,333852836
213,81184501
214,896803531872755713
215,968112512
216,148563245
217,2589672371
218,1177591903434526725
219,1271202002249363461
220,1188801412337225729
221,4195051702
222,980636035
223,1496746326
224,391580541
225,1208236547302154240
226,3083253505
227,1190462815225729024
228,202290629
229,168488064
230,1176327725457584130
231,219877745
232,3397888653
233,912260982
234,2870052210
235,2989938288
236,753717727135731716
237,720261541669437440
238,75663291
239,4078995195
240,3730680382
241,2374631185
242,1366576114106269697
243,1252522040
244,2924312545
245,476169468
246,211531918
247,167147663
248,67453509
249,202394218
250,496975050
251,2683902000
252,899458509766619136
253,3691307475
254,4002710602
255,1128128054830743553
256,3437292147
257,359723186
258,1015330438552932352
259,2554513900
260,3188393710
261,993887238
262,1165451914693304320
263,158368290
264,844660166276628480
265,860360141350334464
266,67046167
267,2325615368
268,836395228047233024
269,91413787
270,4594387049
271,931564592328781824
272,4535566702
273,1651533434
274,1168343448526753793
275,1241171426897547264
276,150075171
277,1009952582217936896
278,797167556
279,985564778
280,3064179977
281,747798387634888704
282,958363921802461191
283,1342178417215758338
284,1158120637673693185
285,825150128004669440
286,4084259969
287,2582474238
288,565194951
289,718137526783967233
290,1034904122
291,143646134
292,252831234
293,3027825842
294,15266334
295,850893415063707648
296,854833584351399936
297,1500612732
298,783367912954458112
299,56259879
300,1092912275046973442
301,794667234
302,1108060645625393158
303,38284709
304,1155487765456465923
305,180793651
306,2190675216
307,3115365611
308,37269026
309,175196384
310,1255719374
311,2437276885
312,926613416382476288
313,359979945
314,1071973252774404096
315,474105312
316,290763243
317,2216772987
318,1031358161737973761
319,1292596613970563072
320,1490231748
321,3102922437
322,135953341
323,961424203542122496
324,1122166021782212608
325,2810383001
326,2703997853
327,566854299
328,793056415
329,558999984
330,403589901
331,1370590944
332,1423548050
333,477390275
334,197161057
335,1070459253692030976
336,2257128927
337,172947580
338,1419082244
339,66505699
340,2569976082
341,66399906
342,389616717
343,797382318
344,759399835418124288
345,138625713
346,1042532093681528832
347,1290798851788623874
348,3183428020
349,906196788805324800
350,114526580
351,1400004090
352,1126457795958726656
353,1023341334994796544
354,3349458881
355,1106656363567042561
356,140713442
357,1263526453997600768
358,145423533
359,1354105134138187782
360,55847657
361,870051988528123906
362,996873847658958848
363,1465475142
364,2440554210
365,228633012
366,738148403729686529
367,313578664
368,143480186
369,1343316321585475585
370,2755839968
371,600534723
372,4740081556
373,538431275
374,605639667
375,3221448826
376,4924949747
377,1315481785
378,1240378500625948673
379,1645595130
380,1138390137673572353
381,968172750866206720
382,863052050044792837
383,153913877
384,1221990246507786240
385,2285114144
386,918893305664098304
387,315864204
388,3002183294
389,154235124
390,1256377080243204104
391,1230270619201212423
392,1189657475076775937
393,2301867769
394,1060350947661176834
395,1276310472
396,484808487
397,288381184
398,960475608873684992
399,961096319455715328
400,896527330910318592
401,4698690631
402,2783159023
403,2407572261
404,1129083951354658818
405,1284819084169879552
406,4778263162
407,312707665
408,2439009551
409,849675878061793285
410,2595312323
411,1353838551151108097
412,3397847596
413,2724434380
414,1241560483
415,162856387
416,145040858
417,238385183
418,1423221576
419,562200059
420,1211856289975767040
421,165230126
422,951268815794589697
423,946420979135385601
424,979750171348291584
425,1233634360609398784
426,1199687449884217344
427,180497066
428,146947918
429,1296606014121418752
430,1059440794329853952
431,2471457739
432,196732299
433,197193880
434,175572966
435,1670538200
436,2287391528
437,168501949
438,170338287
439,331965814
440,159977942
441,70495937
442,142848329
443,51845932
444,708514908095254528
445,72167593
446,1234928037680025607
447,4196198248
448,6229042
449,1143180948
450,3070733999
451,792564287734738944
452,919749640446267393
453,1318644049
454,140837289
455,145743354
456,166624044
457,2425557421
458,512200316
459,14113748
460,57648155
461,1118302733415714816
462,203233379
463,216058177
464,133360493
465,1085288558993293312
466,1068415663
467,1027510050695380992
468,954838240611262464
469,919990254802800645
470,342238818
471,142660444
472,2984784171
473,1239291711299428353
474,1191097616282591232
475,1208866490415566848
476,3370315654
477,4579944141
478,625745682
479,726110025815568385
480,2288939745
481,264861047
482,139612420
483,917604581852565504
484,1039476631
485,169913805
486,244332572
487,911644899388387329
488,2832772595
489,3354353541
490,1109928103818743808
491,329346165
492,1065654049918337025
493,1329622909661437952
494,866852030425518081
495,1279759161459380225
496,353854993
497,2729071072
498,865382719118872576
499,136689177
500,3310367745
501,264325355
502,753786078713245696
503,707733144682766338
504,846517759
505,109320308
506,827048251
507,1194094784194981889
508,1336673518059196417
509,1193738128412102657
510,2444494788
511,805521127124729857
512,737702585277222912
513,604908080
514,791758832
515,4819516888
516,721052903151136768
517,1067373592239845378
518,2985850271
519,1172110744290299905
520,796906999028006913
521,593144854
522,1210378599238422528
523,296603348
524,871158715520626689
525,163249391
526,556415716
527,1203730528349892608
528,1325645613145468928
529,4765017923
530,994364330
531,2970456022
532,1268182824
533,1184781855771549696
534,925150380857667589
535,2397144104
536,1669415936
537,2361732809
538,708018516352311296
539,230551722
540,181612208
541,1470719400
542,64496828
543,1123842290408132608
544,169736965
545,1356429776714682368
546,2193446188
547,1465523670
548,2838253948
549,1334703938
550,1054141195608301568
551,1062334218531938304
552,3344268101
553,735932178010361861
554,1311406391035400192
555,969605721930305536
556,1330279498303107073
557,1085321628546945024
558,144289696
559,361421053
560,1161370873
561,4251658642
562,1205418597725683712
563,385111383
564,16967823
565,807018225426759680
566,3353414279
567,1152152534
568,1036376903714840576
569,952207941012254720
570,190853335
571,2971767178
572,907740079975788545
573,1058840056113364998
574,2780462625
575,138538910
576,2667545393
577,1365361603831595011
578,804094256
579,4399373361
580,371735571
581,1146562602681741314
582,1263528908844085250
583,1294673097220665351
584,2961501371
585,1134596566466158592
586,45452139
587,993304554
588,632218479
589,1000012910
590,819217023586725888
591,746070676361056256
592,1104901428588486657
593,2847413793
594,590045873
595,1157070279132274688
596,4473551177
597,767054511630344192
598,81208395
599,4821490877
600,1366890093894590464
601,510740590
602,1267827808417406982
603,94270912
604,384962523
605,172540805
606,1472910872
607,891492429471330304
608,1248031101894955009
609,828667226387574784
610,1064527049287770112
611,263649751
612,927975778272403456
613,1297307280938065921
614,1001483894091337729
615,1353915017687683072
616,391155284
617,720398077610188800
618,496358067
619,371347243
620,396149001
621,849950096678629380
622,1091859230
623,1131412768635183111
624,180912921
625,3065765061
626,1186358629852684291
627,2546904036
628,310602518
629,1287562291
630,4760638516
631,121807327
632,716455971795648512
633,1007234912
634,912378570118500352
635,1012438592008916992
636,136496903
637,484349869
638,997497835292590080
639,17621963
640,19147182
641,1310042367169376257
642,160023667
643,17548465
644,1275706297
645,1046576621921218560
646,4836551590
647,45936838
648,189296883
649,2328700569
650,184331718
651,443957372
652,927377684224708608
653,2956119892
654,1267825484324208650
655,178107007
656,1031974337589530624
657,3013475817
658,1576444242
659,1336348133840867334
660,748024568
661,1164156646827974656
662,40474405
663,129631920
664,163557607
665,2257236332
666,752861804775243776
667,2744954261
668,2693265779
669,179754650
670,179274588
671,2582866400
672,1248673664544968704
673,1329902594475651072
674,3273370831
675,136129633
676,1336876080536367104
677,1044648661307850752
678,4816742939
679,2601938585
680,3324895637
681,1282898237997948931
682,783232796
683,1231455073861066752
684,4066821819
685,36044876
686,163583879
687,395699087
688,873715703467188225
689,323331296
690,2947565519
691,423416900
692,2903239210
693,4227219761
694,526859397
695,776978614420135938
696,847322791
697,488449754
698,4857845291
699,147724414
700,243582534
701,44671716
702,1309223027650035715
703,195171237
704,513679561
705,2963702933
706,2918597314
707,1279462730081198080
708,63295980
709,223101653
710,171868618
711,2411046360
712,199910429
713,1183560845579739137
714,1052701625993768960
715,1190492803366838272
716,1074817759303909378
717,621349825
718,176275841
719,165155142
720,835301619029917696
721,1251558910173089796
722,826777545265786882
723,113078943
724,908815858973253632
725,102559425
726,759565387126149120
727,2282770913
728,97990263
729,997496617
730,1588531477
731,1308513159171407880
732,782954889123069952
733,700663838186680322
734,142316500
735,1160683016303325184
736,1325992493138268160
737,900328201347641344
738,1159156574360952837
739,2409676483
740,1293094302
741,2412809899
742,1039519515283939328
743,838199027732729857
744,51603395
745,165471784
746,1179820410
747,269896659
748,2293597497
749,1542108283
750,122095700
751,1270843896994635777
752,849989538751578113
753,1243686723651076097
754,1309859176261324800
755,63346632
756,1156038606953287681
757,765969346078310400
758,605156157
759,2232701530
760,1041319088952291328
761,1206064730714116097
762,702626612244844544
763,426978798
764,3367601705
765,1212409041432891393
766,766148642411573248
767,3403398057
768,1320842148103786497
769,76028175
770,701942164264251396
771,1193641776
772,3026382412
773,460178333
774,4217513727
775,4085282722
776,1271019132306284544
777,171523709
778,1138999272521834499
779,956970850858733569
780,1022487825059639296
781,1240676976228261900
782,1072309736555601921
783,230517454
784,339995324
785,2786097578
786,1144031254087704576
787,1642897352
788,1306279436657004544
789,2387607133
790,141819823
791,846052757836587008
792,1091735548010659841
793,3923403723
794,2220056074
795,783651109730656260
796,2396895553
797,1279462350362415104
798,401091098
799,1320466800509857794
800,1080593788576387072
801,967065695333900289
802,172094954
803,140683906
804,565191963
805,468895562
806,1146504383779233792
807,182208443
808,3848136317
809,940279479255142400
810,4107942261
811,18925821
812,2352253952
813,868316476503191552
814,1146864267733413888
815,3514376843
816,823330596
817,240425521
818,1208919995327090688
819,1793506855
820,340627918
821,42944306
822,263552210
823,2671066675
824,1688476074
825,4298499995
826,1133162886984032256
827,1187335268745043969
828,950509741
829,321514110
830,1226696909450104832
831,1296285175580692480
832,894308885279977472
833,4227175875
834,755875058
835,991808089195270144
836,2233713932
837,161498206
838,329694280
839,3026105930
840,155700835
841,526349135
842,145978353
843,3006766474
844,1311261883
845,996779583918796801
846,1231041099545923585
847,847778932174794752
848,4206406708
849,978805113740578816
850,199438246
851,408039627
852,4091240956
853,889571490290597888
854,2820909563
855,3109545658
856,2887612871
857,985701258
858,2725814253
859,910392337
860,4206258441
861,985974482320969728
862,35961319
863,2564582235
864,2296379731
865,2551082712
866,1360817803931099139
867,1278852594606235654
868,96038224
869,1200238258845888512
870,151319723
871,2775659742
872,475004683
873,1310950675757629447
874,2644816972
875,909358892
876,751929335490174980
877,883426011412606977
878,2231711113
879,2196425515
880,839038464
881,1064027327758258176
882,3435915399
883,4197381615
884,922280822543212544
885,2584767920
886,1720135849
887,2904226762
888,1170791961697107968
889,1296571048373215233
890,1130288299615105025
891,3432853587
892,179824150
893,94996859
894,3045228537
895,149098745
896,1244399091574022146
897,235148567
898,419948205
899,196885137
900,128379582
901,797064919493607425
902,766780636589723648
903,1322786581854507008
904,2332316062
905,579437053
906,1620434316
907,4135924881
908,254391017
909,1249052029244387330
910,2310884788
911,441431176
912,921769729622147072
913,1212232926168936448
914,1188766247833522177
915,860648953
916,1268568478304415747
917,567639707
918,3388495833
919,385088135
920,1188926581953224704
921,153519808
922,961984478469083136
923,1174080907
924,3485465009
925,923591869950578688
926,827359103517339648
927,943330406
928,145302944
929,1223617770128101376
930,1167060710087680005
931,178341161
932,260306844
933,109010734
934,1028776947629912066
935,144941243
936,395868299
937,432148188
938,747593523713683456
939,1159980252338298880
940,3082038490
941,993687666226008064
942,1207387339552698369
943,4658231920
944,2548274155
945,1308808943376924673
946,1315814093589282817
947,3036739515
948,1304220431860338690
949,731781342
950,2932140081
951,1676150731
952,867575551703298048
953,61954571
954,978296958149414918
955,319286982
956,280327823
957,1191065166630273025
958,41676573
959,1346946936260222977
960,1320421402273554438
961,1350955216787697669
962,1242344151619973121
963,145375377
964,735506649155309568
965,1405717694
966,2289095864
967,1364644988831870979
968,812373011714179072
969,132248682
970,4198465642
971,2713796776
972,1493942767
973,193379844
974,871484798904274944
975,1341462207591112704
976,109856426
977,209257319
978,265528581
979,1282677838466998272
980,107708146
981,735677606369071108
982,116796425
983,1111155194396581890
984,3958069995
985,2763647871
986,255936713
987,1199738979387662336
988,722146335584034819
989,4704533964
990,961619583676370945
991,363696969
992,2283673836
993,922193603228852224
994,266956236
995,517826994
996,849052350857785344
997,1226569135867518977
998,1248470479712563202
999,1238594246929715200
1000,3428987608
1001,2924522779
1002,171862820
1003,173089104
1004,885917704321892354
1005,37932263
1006,965608464667021312
1007,2973374902
1008,1104215405554552832
1009,758266808
1010,118260001
1011,4269964942
1012,183035849
1013,1202174443793125376
1014,701919738281250819
1015,1013443061010042880
1016,135726636
1017,4105049614
1018,163992090
1019,1002018125624332290
1020,247740568
1021,1189971122923724801
1022,1267910530464964609
1023,163889084
1024,1276229466726043648
1025,3067874009
1026,2433011228
1027,724871546
1028,2889184333
1029,1126893876470525952
1030,178341773
1031,276168271
1032,1205323457724125185
1033,1351719677072912386
1034,1257604822624342016
1035,1339320172650385413
1036,1005092881508524036
1037,821138299725160448
1038,1319348231982239747
1039,3226503256
1040,2160540029
1041,1332717306
1042,1296151488981618694
1043,2700144208
1044,1357623170799394816
1045,209368704
1046,736756888147222528
1047,1225895820446269440
1048,1947928735
1049,309789680
1050,1250215891008176128
1051,1349109783274598403
1052,1368325964434964483
1053,484380243
1054,1305299689567379458
1055,1298681535558823938
1056,198300041
1057,1123776283048128513
1058,756666044517867520
1059,1302966574580727811
1060,4279255229
1061,1265827819
1062,2274853140
1063,943253678890405888
1064,1329306185351229448
1065,1102939558222721024
1066,145001496
1067,1193881304888156160
1068,1245368973845237762
1069,1561342028
1070,1322967296734801924
1071,50936253
1072,197633740
1073,1279491809366999040
1074,304389477
1075,859571047154274304
1076,168749192
1077,824218235293888512
1078,2677167388
1079,1289358944209600513
1080,4078069343
1081,1062536092304453633
1082,152063350
1083,3015178264
1084,511224005
1085,394183333
1086,1214905914215600128
1087,3245443367
1088,1220040001158774785
1089,1379643769
1090,497982069
1091,222298968
1092,1188348470945603584
1093,1513780226
1094,217467287
1095,3158230462
1096,936777570
1097,153554698
1098,4223237123
1099,3122768948
1100,2371103496
1101,2151623971
1102,1029646003
1103,1336600350
1104,73084144
1105,973491850530164736
1106,1250890240006512647
1107,1030619144834699264
1108,957765888027095041
1109,136283402
1110,373109641
1111,1187778847468675079
1112,1286812539469402113
1113,139727067
1114,1241155383701450756
1115,715130439
1116,878766110811840514
1117,919285700431896577
1118,1194008613079146501
1119,197789866
1120,230347910
1121,162882855
1122,1204898619821903872
1123,4198483715
1124,162450182
1125,1055832258815365120
1126,181913869
1127,1366374648871542784
1128,861053952988778496
1129,1299430886375591938
1130,3041230517
1131,208620256
1132,1294829641597886467
1133,1056891366297481223
1134,631689893
1135,1196786425523507200
1136,1197242305125765122
1137,1127383347385262081
1138,405652622
1139,130886252
1140,1178031539566907394
1141,1305988874313838592
1142,53553846
1143,1454799810
1144,193073830
1145,18537781
1146,1258179292065935367
1147,890641283047358464
1148,944377283212607488
1149,4790111614
1150,3352846954
1151,2742953651
1152,1174328033328717824
1153,449228456
1154,1180936849
1155,3412635478
1156,804424725854306304
1157,636345775
1158,1106767294376620032
1159,3198212446
1160,849459923205443587
1161,152649708
1162,179606417
1163,1189910719623573505
1164,1330532739473436672
1165,1328142733
1166,894736560498847747
1167,1309280553678573570
1168,4246311561
1169,4145621363
1170,730484398819250176
1171,1199523653471408134
1172,759404233267507201
1173,1226974709885161474
1174,2171437659
1175,1458753680
1176,208648078
1177,765891954471276544
1178,1308853209822302210
1179,928717784124743680
1180,634939909
1181,4434571462
1182,758176439187415040
1183,882549959345795073
1184,239699954
1185,1220152046776655872
1186,1140030257862533130
1187,1026801761955340289
1188,158606117
1189,217978286
1190,616061420
1191,373755451
1192,749018508940410880
1193,1202225634585522186
1194,3804080657
1195,870070648512679937
1196,874313760
1197,1006941426037477376
1198,906501044385009665
1199,143179041
1200,761889425353764864
1201,1021159485837103106
1202,170188469
1203,890411326002126848
1204,3076068057
1205,2810665427
1206,757723499968532480
1207,2471575699
1208,3330570411
1209,1261780918060101640
1210,1303185099974942720
1211,1235641907633631233
1212,1229615049536409601
1213,127992278
1214,576528491
1215,3340499031
1216,116563618
1217,1240309692716417031
1218,720800620073074688
1219,4195209507
1220,1220414617832345600
1221,842497218
1222,1553539560
1223,1206427669363077120
1224,32633053
1225,880974211476541441
1226,2585012138
1227,570154457
1228,1350398035143106560
1229,965369754
1230,1322295389488353282
1231,169208728
1232,2814064344
1233,728027367466217472
1234,1872208945
1235,837457455433015296
1236,230922284
1237,532673894
1238,1312171075309051911
1239,1357890008
1240,906302531839647744
1241,4112806054
1242,36957720
1243,147257477
1244,38481918
1245,53413802
1246,312805029
1247,2184408541
1248,1410715038
1249,623801593
1250,87470672
1251,971186139917901825
1252,1084596452
1253,175097177
1254,307661558
1255,391793933
1256,1364993930182479879
1257,270008304
1258,1975248488
1259,564042719
1260,1330626447359270913
1261,228209011
1262,4703045210
1263,1313218535519379459
1264,2729182391
1265,923371096975568896
1266,346964191
1267,1045330270847729664
1268,148402220
1269,142039745
1270,889066117
1271,419891711
1272,1306004461
1273,1291113678150995968
1274,1194028127091068935
1275,3866467402
1276,1357015893511929870
1277,1013144825770672133
1278,52360305
1279,1192101791737032705
1280,546854590
1281,1383351774
1282,634170302
1283,1084477026646536193
1284,1236817840021417984
1285,1250159023472685064
1286,885913418821238784
1287,499381646
1288,915651757652549635
1289,704508268861853696
1290,333627902
1291,1164116703590125568
1292,348835930
1293,1900832748
1294,951865669
1295,199691868
1296,1485509054
1297,1244732086906433539
1298,723567577260277760
1299,201015496
1300,759039470406541315
1301,208490736
1302,2604861845
1303,1314400279123689473
1304,1302529537
1305,1287265164
1306,1106202888286674944
1307,3236245049
1308,186070960
1309,611315143
1310,249479601
1311,2777209585
1312,182118549
1313,574132516
1314,3748419377
1315,3037629969
1316,877370610497802240
1317,4198183773
1318,4405726341
1319,235642651
1320,1935500414
1321,1918201964
1322,136057968
1323,1961140502
1324,2525439758
1325,1020763814
1326,1249403351332261888
1327,1194050305794695168
1328,283930504
1329,266026777
1330,113162871
1331,1605797790
1332,4755918375
1333,134005373
1334,875809765
1335,2951554437
1336,4100729848
1337,1205649977059553281
1338,2424671376
1339,1668556188
1340,316043614
1341,701050069336924160
1342,745049140946669568
1343,1542059119
1344,366707521
1345,151655977
1346,1029697568
1347,522197549
1348,957701311
1349,331415659
1350,167385572
1351,19991497
1352,1324927863913656321
1353,52243385
1354,174716136
1355,960414535
1356,1542023767
1357,4532040442
1358,199889412
1359,208768095
1360,1184960890061381632
1361,883120640206807040
1362,448110852
1363,136296830
1364,1270407863752671235
1365,4237533411
1366,71633787
1367,187035241
1368,1216555341607063558
1369,286710135
1370,273682375
1371,1169332419327123456
1372,3359440300
1373,1272582065226231808
1374,2151899348
1375,1099659223523311616
1376,4261733687
1377,142786478
1378,1212922020796620802
1379,749754911664005120
1380,3400908472
1381,159315050
1382,779119004971634688
1383,291509269
1384,899081121631268864
1385,1124123368503107584
1386,1220026772701569024
1387,1029095134598770689
1388,496607427
1389,1296955161219411968
1390,170507245
1391,131493703
1392,1235748221974130688
1393,2610409794
1394,4196284702
1395,4572181162
1396,114535104
1397,1216813092501426176
1398,763987712
1399,4372280837
1400,1343383182318710785
1401,370157452
1402,1676825292
1403,58127090
1404,990645311675695105
1405,2533383794
1406,300582208
1407,405924380
1408,2620214918
1409,1228328509631815692
1410,4334661927
1411,35680704
1412,3051328745
1413,1740599918
1414,130238110
1415,1013950843
1416,1184936917709852672
1417,1119605455565852673
1418,42639105
1419,730424379708977153
1420,853004520338718720
1421,724088852
1422,280526998
1423,994366160794726400
1424,49814485
1425,1448860903
1426,799045498648875008
1427,99443868
1428,825688939
1429,836750423818125312
1430,1309248395064881153
1431,4749475517
1432,227165658
1433,4574906055
1434,927582038433173504
1435,198316580
1436,1625752669
1437,762779176642441216
1438,874645664
1439,225273523
1440,2376429744
1441,637070448
1442,158598364
1443,466149247
1444,1271418537794580480
1445,421148871
1446,1340593632844328961
1447,1346144957774647298
1448,1141484775271800833
1449,1218743680456101888
1450,3917319810
1451,972077837153914881
1452,193961102
1453,1185336469994520577
1454,3199205541
1455,29477563
1456,3463028362
1457,203643299
1458,144935872
1459,4637672068
1460,497262192
1461,781725348
1462,1268599583086653442
1463,168426611
1464,1072862546267275266
1465,237994709
1466,2153702509
1467,1035310016906121216
1468,1162900101230223361
1469,1243276178602983425
1470,877656712853032960
1471,110029071
1472,1069620702
1473,1278555403429822464
1474,890891256867500032
1475,894886118608568320
1476,224635631
1477,1189697405404487680
1478,2791814816
1479,1727323244
1480,293884198
1481,1273649990750085121
1482,1261787583073464323
1483,4831478110
1484,1275209240
