Fecha,flow,Site,Device,Loading,Shipping,Payments,Review,Congrats
2019-03-01,cart,MLA,Android,0,7084,5313,3981,3731
2019-03-01,cart,MLA,Desktop,0,5419,4177,3580,3479
2019-03-01,cart,MLA,Mobile,0,2426,1832,1373,1290
2019-03-01,cart,MLA,iOS,0,1179,856,671,622
2019-03-01,direct,MLA,Android,160081,152310,124551,89380,83856
2019-03-01,direct,MLA,Desktop,98263,93506,80994,63941,62256
2019-03-01,direct,MLA,Mobile,69273,65385,51310,35665,33229
2019-03-01,direct,MLA,iOS,29215,27378,23245,17899,16835
2019-03-01,direct,MLC,Desktop,14970,14818,12629,10444,9827
2019-03-01,direct,MLC,Mobile,14840,14695,11084,8567,7445
2019-03-01,direct,MLU,Desktop,2410,2362,2104,1688,1650
2019-03-01,direct,MLU,Mobile,3437,3395,2788,2163,2034
2019-03-02,cart,MLA,Android,0,5349,3963,2829,2649
2019-03-02,cart,MLA,Desktop,0,2784,2250,1899,1828
2019-03-02,cart,MLA,Mobile,0,2075,1542,1085,1033
2019-03-02,cart,MLA,iOS,0,925,684,486,439
2019-03-02,direct,MLA,Android,130042,122965,97941,65134,60631
2019-03-02,direct,MLA,Desktop,51778,49285,41652,30945,30009
2019-03-02,direct,MLA,Mobile,59904,56554,43704,27576,25477
2019-03-02,direct,MLA,iOS,22275,20572,17103,12304,11421
2019-03-02,direct,MLC,Desktop,8380,8272,6946,5752,5401
2019-03-02,direct,MLC,Mobile,14087,13961,10609,7866,6857
2019-03-02,direct,MLU,Desktop,743,730,646,506,489
2019-03-02,direct,MLU,Mobile,1774,1701,1400,1077,1005
2019-03-03,cart,MLA,Android,0,4840,3529,2361,2192
2019-03-03,cart,MLA,Desktop,0,2134,1704,1445,1402
2019-03-03,cart,MLA,Mobile,0,1956,1483,984,912
2019-03-03,cart,MLA,iOS,0,838,646,482,455
2019-03-03,direct,MLA,Android,113526,106599,83077,51557,47156
2019-03-03,direct,MLA,Desktop,39106,37083,30792,22021,21229
2019-03-03,direct,MLA,Mobile,52461,48978,36991,22863,20847
2019-03-03,direct,MLA,iOS,18784,17220,13968,9617,8865
2019-03-03,direct,MLC,Desktop,9365,9257,7940,6518,6138
2019-03-03,direct,MLC,Mobile,15257,15183,11353,8610,7495
2019-03-03,direct,MLU,Desktop,579,569,472,373,361
2019-03-03,direct,MLU,Mobile,1203,1178,938,690,646
2019-03-04,cart,MLA,Android,0,6384,4656,3234,3009
2019-03-04,cart,MLA,Desktop,0,3169,2494,2077,2012
2019-03-04,cart,MLA,Mobile,0,2242,1747,1206,1135
2019-03-04,cart,MLA,iOS,0,1110,835,621,568
2019-03-04,direct,MLA,Android,142338,133952,105604,67622,62339
2019-03-04,direct,MLA,Desktop,58379,55362,46292,33694,32567
2019-03-04,direct,MLA,Mobile,65201,61234,46690,28911,26454
2019-03-04,direct,MLA,iOS,24166,22199,18156,12852,11881
2019-03-04,direct,MLC,Desktop,21177,20968,18204,15133,14332
2019-03-04,direct,MLC,Mobile,17535,17390,13430,10366,9153
2019-03-04,direct,MLU,Desktop,1243,1213,1047,833,808
2019-03-04,direct,MLU,Mobile,2110,2074,1713,1285,1188
2019-03-05,cart,MLA,Android,0,7459,5542,3918,3673
2019-03-05,cart,MLA,Desktop,0,4271,3371,2881,2806
2019-03-05,cart,MLA,Mobile,0,2638,2016,1445,1382
2019-03-05,cart,MLA,iOS,0,1294,912,714,676
2019-03-05,direct,MLA,Android,159192,151029,119921,79137,73578
2019-03-05,direct,MLA,Desktop,71298,67429,57333,43257,41916
2019-03-05,direct,MLA,Mobile,74185,70248,53964,33750,31120
2019-03-05,direct,MLA,iOS,29237,27081,22501,16484,15372
2019-03-05,direct,MLC,Desktop,20716,20519,17804,14840,14007
2019-03-05,direct,MLC,Mobile,16774,16691,12833,10105,8979
2019-03-05,direct,MLU,Desktop,1255,1241,1081,886,861
2019-03-05,direct,MLU,Mobile,2356,2320,1963,1528,1423
2019-03-06,cart,MLA,Android,0,9136,6717,5056,4750
2019-03-06,cart,MLA,Desktop,0,7137,5389,4726,4609
2019-03-06,cart,MLA,Mobile,0,2867,2145,1600,1508
2019-03-06,cart,MLA,iOS,0,1674,1276,964,883
2019-03-06,direct,MLA,Android,201155,191359,155003,110761,103856
2019-03-06,direct,MLA,Desktop,128716,122599,106288,83705,81550
2019-03-06,direct,MLA,Mobile,84528,79988,62924,43047,40332
2019-03-06,direct,MLA,iOS,38656,35937,30342,23509,22048
2019-03-06,direct,MLC,Desktop,20343,20152,17342,14478,13679
2019-03-06,direct,MLC,Mobile,17186,17034,13126,10073,8821
2019-03-06,direct,MLU,Desktop,2097,2068,1854,1512,1476
2019-03-06,direct,MLU,Mobile,2685,2616,2188,1751,1675
2019-03-07,cart,MLA,Android,0,8933,6636,4876,4557
